filename,source_file,label,n_symbols,latin_source
history_corpus/hist_00000.png,abu_al-mafakhir_dari_banten.txt,ᮞᮥ ᮜ᮪ ᮒ ᮔ᮪ <sp> ᮃ ᮘᮥ <sp> ᮃ ᮜ᮪ <sp> ᮙ ᮖ ᮊ᮪ ᮠᮤᮁ <sp> ᮙᮂ ᮙᮥ ᮓ᮪ <sp> ᮃ ᮘ᮪ ᮓᮥ ᮜ᮪ ᮊ ᮓᮤᮁ <sp> ᮃ ᮒ ᮝ <sp> ᮇ ᮌᮦ <sp> ᮊ ᮒᮨ ᮜᮂ <sp> ᮕ ᮍᮨ ᮛ ᮔ᮪ <sp> ᮛ ᮒᮥ <sp> ᮑ ᮆ ᮒ <sp> ᮞᮥ ᮜ᮪ ᮒ ᮔ᮪ <sp> ᮘ ᮔ᮪ ᮒᮨ ᮔ᮪ <sp> ᮊ <sp> ᮴ <sp> ᮃ ᮔᮥ <sp> ᮍ ᮛ ᮊ᮪ ᮞ <sp> ᮒᮤ <sp> ᮱ ᮵ ᮹ ᮶ <sp> ᮔᮨ ᮕᮤ <sp> ᮊ <sp> ᮱ ᮶ ᮵ ᮱,88,Sultan Abu al-Mafakhir Mahmud Abdulkadir atawa ogé katelah Pangeran Ratu nyaéta Sultan Banten ka-4 anu ngaraksa ti 1596 nepi ka 1651.
history_corpus/hist_00001.png,abu_al-mafakhir_dari_banten.txt,ᮃ ᮔ᮪ ᮏᮩ ᮔ᮪ ᮔ <sp> ᮕᮥ ᮒᮢ <sp> ᮞᮥ ᮜ᮪ ᮒ ᮔ᮪ <sp> ᮙ ᮅ ᮜ ᮔ <sp> ᮙᮥ ᮠ ᮙ᮪ ᮙ ᮓ᮪ <sp> ᮞᮁ ᮒ <sp> ᮏ ᮓᮤ <sp> ᮛ ᮏ <sp> ᮙᮥᮀ ᮌ ᮛ ᮔ᮪ <sp> ᮓᮤ <sp> ᮔᮥ ᮞ ᮔ᮪ ᮒ ᮛ <sp> ᮃ ᮔᮥ <sp> ᮍ ᮌᮥ ᮔ ᮊᮩ ᮔ᮪ <sp> ᮌᮨ ᮜᮁ <sp> ᮞᮥ ᮜ᮪ ᮒ ᮔ᮪ <sp> ᮞ ᮎ ᮛ <sp> ᮛᮨ ᮞ᮪ ᮙᮤ,71,"Anjeunna putra Sultan Maulana Muhammad sarta jadi raja munggaran di Nusantara anu ngagunakeun gelar ""Sultan"" sacara resmi."
history_corpus/hist_00003.png,abu_al-mafakhir_dari_banten.txt,ᮞᮥ ᮜ᮪ ᮒ ᮔ᮪ <sp> ᮙ ᮅ ᮜ ᮔ <sp> ᮙᮥ ᮠ ᮙ᮪ ᮙ ᮓ᮪ <sp> ᮕᮥ ᮕᮥ ᮞ᮪ <sp> ᮓᮤ ᮔ <sp> ᮃ ᮝ ᮜ᮪ <sp> ᮒ ᮅ ᮔ᮪ <sp> ᮱ ᮵ ᮹ ᮶ <sp> ᮓᮤ <sp> ᮕ ᮜᮨ ᮙ᮪ ᮘᮀ <sp> ᮘ ᮛᮤ <sp> ᮊᮩᮁ <sp> ᮍ ᮜ ᮊ᮪ ᮞ ᮔ ᮊᮩ ᮔ᮪ <sp> ᮆ ᮊ᮪ ᮞ᮪ ᮕᮨ ᮓᮤ ᮞᮤ <sp> ᮙᮤ ᮜᮤ ᮒᮦᮁ <sp> ᮍ ᮜ ᮝ ᮔ᮪ <sp> ᮊ ᮞᮥ ᮜ᮪ ᮒ ᮔ ᮔ᮪ <sp> ᮕ ᮜᮨ ᮙ᮪ ᮘᮀ,83,Sultan Maulana Muhammad pupus dina awal taun 1596 di Palembang bari keur ngalaksanakeun ékspedisi militér ngalawan Kasultanan Palembang.
history_corpus/hist_00004.png,abu_al-mafakhir_dari_banten.txt,ᮞ ᮒᮨ ᮛᮥ ᮞ᮪ ᮔ <sp> ᮓᮤ ᮔ <sp> ᮒᮀ ᮌ ᮜ᮪ <sp> ᮲ ᮳ <sp> ᮏᮥ ᮔᮤ <sp> ᮱ ᮵ ᮹ ᮶ <sp> ᮜ ᮔ᮪ ᮒ ᮛ ᮔ᮪ <sp> ᮕᮥ ᮒᮢ ᮔ <sp> ᮃ ᮘᮥ ᮜ᮪ <sp> ᮙ ᮖ ᮊ᮪ ᮠᮤᮁ <sp> ᮙ ᮞᮤᮂ <sp> ᮅ ᮙᮥᮁ <sp> ᮜᮤ ᮙ <sp> ᮘᮥ ᮜ ᮔ᮪ <sp> ᮙ ᮊ <sp> ᮕᮤ ᮊᮩ ᮔ᮪ <sp> ᮍ ᮏ ᮜ ᮔ᮪ ᮊᮩ ᮔ᮪ <sp> ᮛᮧ ᮓ <sp> ᮕ ᮙ ᮛᮦ ᮔ᮪ ᮒ ᮠ ᮔ᮪ <sp> ᮓᮤ ᮒᮥ ᮔ᮪ ᮏᮥ ᮊ᮪ <sp> ᮙᮀ ᮊᮥ ᮘᮥ ᮙᮤ <sp> ᮏ ᮚ ᮔᮨ ᮌ ᮛ <sp> ᮙᮤ ᮔᮀ ᮊ <sp> ᮝ ᮜᮤ,104,"Saterusna dina tanggal 23 Juni 1596, lantaran putrana Abul Mafakhir masih umur lima bulan, maka pikeun ngajalankeun roda pamaréntahan ditunjuk Mangkubumi Jayanegara minangka wali."
history_corpus/hist_00007.png,abu_al-mafakhir_dari_banten.txt,ᮊ ᮠ ᮛᮤ ᮝᮀ <sp> ᮃ ᮚ <sp> ᮕᮨᮁ ᮕᮨ ᮎ ᮠ ᮔ᮪ <sp> ᮏᮩᮀ <sp> ᮄ ᮛᮤ <sp> ᮙ ᮊ <sp> ᮕ ᮙ ᮛᮦ ᮔ᮪ ᮒ ᮠ ᮔ᮪ <sp> ᮓᮤ ᮕᮥ ᮒᮥ ᮞ᮪ ᮊᮩ ᮔ᮪ <sp> ᮠᮨ ᮔ᮪ ᮒᮩ <sp> ᮓᮤ ᮕᮤ ᮘᮧ ᮌ <sp> ᮊᮥ <sp> ᮙᮀ ᮊᮥ ᮘᮥ ᮙᮤ <sp> ᮒ ᮕᮤ <sp> ᮜᮀ ᮞᮥᮀ <sp> ᮊᮥ <sp> ᮄ ᮘᮥ ᮔ᮪ ᮓ <sp> ᮞᮥ ᮜ᮪ ᮒ ᮔ᮪ <sp> ᮑᮤ ᮙ ᮞ᮪ <sp> ᮛ ᮒᮥ <sp> ᮃ ᮚᮥ <sp> ᮝ ᮔ ᮌᮤ ᮛᮤ <sp> ᮃ ᮔᮥ <sp> ᮔᮤ ᮊᮂ <sp> ᮓᮩ ᮄ <sp> ᮊ <sp> ᮕ ᮍᮨ ᮛ ᮔ᮪ <sp> ᮎ ᮙ ᮛ,105,"Kahariwang aya perpecahan jeung iri, maka pamaréntahan diputuskeun henteu dipiboga ku Mangkubumi, tapi langsung ku Ibunda Sultan, Nyimas Ratu Ayu Wanagiri anu nikah deui ka Pangeran Camara."
history_corpus/hist_00008.png,abu_al-mafakhir_dari_banten.txt,ᮛ ᮒᮥ <sp> ᮑᮤ ᮙ ᮞ᮪ <sp> ᮒᮨ ᮛᮥ ᮞ᮪ <sp> ᮍ ᮓᮨ ᮞᮨ ᮊ᮪ <sp> ᮞᮥ ᮕ ᮚ <sp> ᮞ ᮜ ᮊᮤ ᮔ <sp> ᮃ ᮑᮁ <sp> ᮓᮤ ᮄ ᮓᮤ ᮔ ᮔ᮪ <sp> ᮏ ᮓᮤ <sp> ᮝ ᮜᮤ <sp> ᮞᮥ ᮜ᮪ ᮒ ᮔ᮪ <sp> ᮃ ᮘᮥ ᮜ᮪ <sp> ᮙ ᮖ ᮊ᮪ ᮠᮤᮁ,53,Ratu Nyimas terus ngadesek supaya salakina anyar diidinan jadi wali Sultan Abul Mafakhir.
history_corpus/hist_00009.png,abu_al-mafakhir_dari_banten.txt,ᮊ ᮃ ᮚ ᮃ ᮔ᮪ <sp> ᮕ ᮍᮨ ᮛ ᮔ᮪ <sp> ᮎ ᮙ ᮛ <sp> ᮞ ᮜ ᮊᮥ <sp> ᮝ ᮜᮤ <sp> ᮞᮥ ᮜ᮪ ᮒ ᮔ᮪ <sp> ᮒᮩ <sp> ᮓᮤ ᮕᮤ ᮛᮤ ᮌ ᮊᮩ ᮔ᮪ <sp> ᮊᮥ <sp> ᮕᮨ ᮏ ᮘ ᮒ᮪ <sp> ᮝᮤ ᮜ ᮚᮂ <sp> ᮊ ᮞᮥ ᮜ᮪ ᮒ ᮔ ᮔ᮪ <sp> ᮘ ᮔ᮪ ᮒᮨ ᮔ᮪ <sp> ᮞ ᮠᮤᮀ ᮌ <sp> ᮓᮤ ᮅ ᮎ ᮕ᮪ ᮊᮩ ᮔ᮪ <sp> ᮚᮦ ᮔ᮪ <sp> ᮊ ᮊ ᮝ ᮞ ᮃ ᮔ᮪ <sp> ᮝ ᮜᮤ <sp> ᮞᮥ ᮜ᮪ ᮒ ᮔ᮪ <sp> ᮃ ᮔᮥ <sp> ᮞᮨ ᮊ ᮜᮤ ᮌᮥ ᮞ᮪ <sp> ᮏ ᮓᮤ <sp> ᮞ ᮜ ᮊᮤ <sp> ᮑᮤ <sp> ᮌᮨ ᮓᮨ <sp> ᮝ ᮔᮧ ᮌᮤ ᮛᮤ <sp> ᮍ ᮔ᮪ <sp> ᮅ ᮊᮥᮁ <sp> ᮓᮤ ᮝ ᮒᮨ ᮞ ᮔ᮪ <sp> ᮊ <sp> ᮊᮨ ᮛ ᮒᮧ ᮔ᮪ <sp> ᮞ ᮛᮨᮀ <sp> ᮓ ᮆ ᮛᮂ <sp> ᮞ ᮊᮥ ᮛᮤ ᮜᮤᮀ ᮔ <sp> ᮝ ᮆ,148,Kaayaan Pangeran Camara salaku wali sultan teu dipirigakeun ku pejabat wilayah kasultanan Banten sahingga diucapkeun yén kakawasaan wali sultan anu sekaligus jadi salaki Nyi Gede Wanogiri ngan ukur diwatesan ka keraton sareng daérah sakurilingna waé.
history_corpus/hist_00012.png,abu_al-mafakhir_dari_banten.txt,ᮊᮥ <sp> ᮅ ᮞ ᮠ <sp> ᮕ ᮍᮨ ᮛ ᮔ᮪ <sp> ᮏ ᮚ ᮊᮁ ᮒ <sp> ᮃ ᮠᮤᮁ ᮔ <sp> ᮕᮨ ᮛᮀ <sp> ᮘᮤ ᮞ <sp> ᮉ ᮛᮩ ᮔ᮪ <sp> ᮏᮩᮀ <sp> ᮕᮨᮁ ᮏᮀ ᮏᮤ ᮃ ᮔ᮪ <sp> ᮕᮨᮁ ᮓ ᮙ ᮄ ᮃ ᮔ᮪ <sp> ᮘᮤ ᮞ <sp> ᮓᮤ ᮃ ᮛᮂ ᮊᮩ ᮔ᮪ <sp> ᮘ ᮘ ᮛᮨ ᮍ ᮔ᮪,59,Ku usaha Pangeran Jayakarta ahirna perang bisa eureun jeung perjangjian perdamaian bisa diarahkeun babarengan.
history_corpus/hist_00013.png,abu_al-mafakhir_dari_banten.txt,ᮘ ᮔ᮪ ᮒᮨ ᮔ᮪ <sp> ᮘ ᮜᮤ ᮊ᮪ <sp> ᮃ ᮙ ᮔ᮪ <sp> ᮒᮨ ᮛ ᮞ᮪ <sp> ᮓᮤ ᮃᮀ ᮊ ᮒ᮪ <sp> ᮊᮥ <sp> ᮕ ᮍᮨ ᮛ ᮔ᮪ <sp> ᮃᮁ ᮚ <sp> ᮛ ᮔ ᮙᮀ ᮌ ᮜ <sp> ᮞ ᮜ ᮊᮥ <sp> ᮙ ᮊ ᮙ᮪ <sp> ᮃ ᮑᮁ <sp> ᮘ ᮛᮤ <sp> ᮏ ᮓᮤ <sp> ᮝ ᮜᮤ <sp> ᮞᮥ ᮜ᮪ ᮒ ᮔ᮪ <sp> ᮙᮥ ᮓ,65,"Banten balik aman, teras diangkat ku Pangeran Arya Ranamanggala salaku makam anyar bari jadi wali Sultan Muda."
history_corpus/hist_00014.png,abu_al-mafakhir_dari_banten.txt,ᮕᮤ ᮊᮩ ᮔ᮪ <sp> ᮍ ᮏ ᮓᮤ ᮊᮩ ᮔ᮪ <sp> ᮔ ᮌ ᮛ <sp> ᮘᮩᮀ ᮠᮁ <sp> ᮛ ᮔ ᮙᮀ ᮌ ᮜ <sp> ᮍ ᮠᮥ ᮊᮥ ᮙ᮪ <sp> ᮕ ᮍᮨ ᮛ ᮔ᮪ <sp> ᮃ ᮒ ᮝ <sp> ᮕᮀ ᮌ ᮝ <sp> ᮃ ᮔᮥ <sp> ᮍ ᮜ ᮊᮥ ᮊᮩ ᮔ᮪ <sp> ᮕᮨᮁ ᮊ ᮝᮤ ᮞ᮪ <sp> ᮞᮁ ᮒ <sp> ᮍ ᮌᮨ ᮔ᮪ ᮒᮧ ᮞ᮪ <sp> ᮃ ᮒᮥ ᮛ ᮔ᮪ <sp> ᮃ ᮔᮥ <sp> ᮃ ᮚ <sp> ᮃ ᮔ᮪ ᮒ ᮛ <sp> ᮕ ᮍᮨ ᮛ ᮔ᮪ <sp> ᮎ ᮙ ᮛ <sp> ᮞ ᮛᮨᮀ <sp> ᮕ ᮓ ᮌᮀ <sp> ᮛᮧ ᮕ,98,"Pikeun ngajadikeun nagara beunghar, Ranamanggala ngahukum pangeran atawa panggawa anu ngalakukeun perkawis sarta ngagentos aturan anu aya antara Pangeran Camara sareng padagang Éropa."
